centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
ACEKIDZ @ WORK PTE. LTD.,PT8959,"688C,CHOA CHU KANG CRESCENT,#01-120,683688",683688,683688,688C CHOA CHU KANG CRESCENT HDB-CHOA CHU KANG SINGAPORE 683688,1.4031870130000001,103.75099329999999
MY FIRST SKOOL,NT0370,"101,RIVERVALE WALK,#01-40,540101",540101,540101,101 RIVERVALE WALK RIVERVALE COURT SINGAPORE 540101,1.38276429,103.899272
MY FIRST SKOOL,NT0477,"203D,COMPASSVALE ROAD,#01-59,544203",544203,544203,203D COMPASSVALE ROAD HDB-SENGKANG SINGAPORE 544203,1.3872144519999998,103.8955253
THE SUNBIRD CHILD DEVELOPMENT CENTRE PTE LTD,PT6330,"122A,SENGKANG EAST WAY,#01-49,541122",541122,541122,122A SENGKANG EAST WAY RIVERVALE BANK SINGAPORE 541122,1.386614515,103.906024
MY FIRST SKOOL,NT0390,"602,CHOA CHU KANG ST 62,#01-25,680602",680602,680602,602 CHOA CHU KANG STREET 62 HDB-CHOA CHU KANG SINGAPORE 680602,1.3972441830000002,103.7445013
E-BRIDGE PRE-SCHOOL PTE. LTD.,EB0006,"1,JELEBU ROAD,#04-05,BUKIT PANJANG PLAZA,677743",677743,677743,1 JELEBU ROAD BUKIT PANJANG PUBLIC LIBRARY SINGAPORE 677743,1.37948804,103.764595
MY FIRST SKOOL,NT0533,"656C,JURONG WEST STREET 61,#01-313,643656",643656,643656,656C JURONG WEST STREET 61 HDB-JURONG WEST SINGAPORE 643656,1.335989551,103.69997420000001
Iroha Kindergarten,PT9624,"231,MOUNTBATTEN ROAD,#01-01,MOUNTBATTEN CENTRE,397999",397999,397999,231 MOUNTBATTEN ROAD MOUNTBATTEN CENTRE SINGAPORE 397999,1.308514145,103.8809103
CHENGZHU MANDARIN KINDERGARTEN,PT9657,"35,ROCHESTER DRIVE,#03-01,ROCHESTER MALL,138639",138639,138639,35 ROCHESTER DRIVE PARK AVENUE ROCHESTER SINGAPORE 138639,1.305351212,103.7883474
CHILD AT STREET 11 LTD,RC1250,"102,ANG MO KIO AVE 3,#01-1429,560102",560102,560102,102 ANG MO KIO AVENUE 3 KEBUN BARU HEIGHTS SINGAPORE 560102,1.370650098,103.8394103
MY FIRST SKOOL,NT0480,"331,ANG MO KIO AVENUE 1,#01-1869,560331",560331,560331,331 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560331,1.3621114069999998,103.8507665
