school_name,address,postal_code,mainlevel_code,postal,latitude,longtitude
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93 HOUGANG SECONDARY SCHOOL SINGAPORE 534256,534256,SECONDARY,534256,1.37815588,103.8818716
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1 NAN HUA HIGH SCHOOL SINGAPORE 129956,129956,SECONDARY,129956,1.308141211,103.76901540000001
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52 HILLGROVE SECONDARY SCHOOL SINGAPORE 659250,659250,SECONDARY,659250,1.352735494,103.75305240000002
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8 XINMIN SECONDARY SCHOOL SINGAPORE 538789,538789,SECONDARY,538789,1.3726428999999998,103.8830505
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD GREENRIDGE SECONDARY SCHOOL SINGAPORE 679938,679938,SECONDARY,679938,1.381924186,103.773617
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8 SPRINGFIELD SECONDARY SCHOOL SINGAPORE 529593,529593,SECONDARY,529593,1.3495756319999999,103.93021829999999
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT CHUA CHU KANG SECONDARY SCHOOL SINGAPORE 688845,688845,SECONDARY,688845,1.3832748380000002,103.7520245
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229,479229,SECONDARY,479229,1.33754548,103.9264171
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22 NORTHLAND SECONDARY SCHOOL SINGAPORE 768578,768578,SECONDARY,768578,1.43573962,103.8401047
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK PEIRCE SECONDARY SCHOOL SINGAPORE 575566,575566,SECONDARY,575566,1.366131676,103.8299104
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1 JURONGVILLE SECONDARY SCHOOL SINGAPORE 609790,609790,SECONDARY,609790,1.351549559,103.7291127
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD FAJAR SECONDARY SCHOOL SINGAPORE 678972,678972,SECONDARY,678972,1.375565392,103.7638819
KRANJI SECONDARY SCHOOL,38 TECK WHYE CRESCENT SINGAPORE 688945,688945,SECONDARY,688945,1.38169399,103.7564934
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91 JUYING SECONDARY SCHOOL SINGAPORE 649038,649038,SECONDARY,649038,1.338178835,103.68720649999999
WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD WEST SPRING SECONDARY SCHOOL SINGAPORE 677737,677737,SECONDARY,677737,1.387804339,103.7601475
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65 JURONG WEST SECONDARY SCHOOL SINGAPORE 648348,648348,SECONDARY,648348,1.335256345,103.70209809999999
